tenure_months,monthly_charges,total_charges,num_services,senior_citizen,contract_type,internet_service,tech_support,payment_method,churned
70,23.29,1704.39,1,0,one-year,fiber,no,electronic-check,0
57,31.61,1749.12,2,0,two-year,fiber,yes,electronic-check,0
69,23.87,1772.06,2,0,one-year,fiber,yes,bank-transfer,0
17,52.89,889.47,2,0,one-year,fiber,yes,electronic-check,0
20,69.55,1289.21,6,1,two-year,dsl,no,electronic-check,0
61,55.63,3574.96,4,1,one-year,dsl,yes,electronic-check,0
17,76.06,1300.66,2,0,month-to-month,dsl,no,mailed-check,0
4,68.06,277.33,1,0,month-to-month,dsl,no,mailed-check,0
48,87.79,4117.1,2,1,month-to-month,dsl,no,mailed-check,0
57,86.7,5150.17,5,1,month-to-month,dsl,yes,bank-transfer,0
69,51.81,3242.83,6,0,month-to-month,fiber,yes,credit-card,0
66,54.62,3598.56,3,0,month-to-month,fiber,no,bank-transfer,0
8,78.51,618.93,1,1,month-to-month,dsl,no,bank-transfer,0
55,79.64,4596.12,4,1,two-year,fiber,no,electronic-check,0
60,51.47,2943.59,6,1,month-to-month,dsl,no,electronic-check,0
50,53.03,2510.29,1,0,month-to-month,dsl,no,electronic-check,0
59,89.4,5084.54,6,0,month-to-month,none,no,credit-card,0
60,84.74,5064.62,2,0,month-to-month,fiber,no,electronic-check,0
32,33.51,1010.1,2,1,one-year,dsl,no,credit-card,0
2,64.1,132.92,5,0,one-year,dsl,yes,credit-card,0
32,109.27,3378.88,1,1,month-to-month,fiber,yes,credit-card,1
14,23.63,325.63,3,1,month-to-month,dsl,no,mailed-check,0
8,105.52,853.88,1,0,month-to-month,none,no,electronic-check,1
8,36.32,283.4,2,0,one-year,fiber,no,electronic-check,0
50,70.72,3678.31,6,0,two-year,dsl,no,credit-card,0
36,62.43,2317.69,2,1,two-year,fiber,no,mailed-check,0
38,21.01,839.39,1,1,month-to-month,fiber,no,mailed-check,1
53,111.54,5938.82,2,1,one-year,fiber,yes,electronic-check,0
39,65.49,2486.39,1,1,one-year,none,yes,mailed-check,0
45,115.43,4883.86,5,0,two-year,none,no,mailed-check,0
6,48.67,288.33,7,0,month-to-month,dsl,no,bank-transfer,0
61,106.63,6989.68,2,0,month-to-month,dsl,no,credit-card,0
32,112.24,3319.45,6,1,month-to-month,dsl,yes,mailed-check,1
11,75.68,785.1,3,0,month-to-month,fiber,yes,mailed-check,1
58,40.27,2412.85,1,0,one-year,fiber,no,mailed-check,0
52,88.52,4672.04,5,1,month-to-month,dsl,yes,electronic-check,0
3,74.9,243.4,2,0,month-to-month,none,no,electronic-check,1
13,114.45,1347.7,4,1,two-year,dsl,yes,electronic-check,1
1,63.93,68.77,4,1,month-to-month,fiber,no,electronic-check,0
19,46.85,930.29,5,1,two-year,fiber,no,electronic-check,0
7,33.83,249.86,1,1,one-year,dsl,no,electronic-check,1
51,89.86,4471.65,2,0,two-year,dsl,yes,credit-card,0
37,117.41,4176.77,6,1,one-year,dsl,no,electronic-check,0
70,22.83,1442.89,7,1,month-to-month,none,yes,bank-transfer,0
53,94.04,5270.61,1,1,month-to-month,dsl,yes,electronic-check,0
44,112.69,4622.73,3,0,two-year,fiber,no,mailed-check,0
36,27.48,935.09,7,0,month-to-month,fiber,no,bank-transfer,0
3,31.02,88.9,3,0,month-to-month,fiber,no,bank-transfer,0
5,89.2,478.97,4,1,one-year,none,yes,credit-card,1
44,84.8,3572.92,7,0,month-to-month,fiber,yes,mailed-check,1
0,26.88,26.48,7,1,month-to-month,fiber,yes,bank-transfer,0
3,103.44,325.67,5,0,month-to-month,fiber,no,mailed-check,1
15,72.34,1170.23,5,1,month-to-month,dsl,yes,mailed-check,0
63,110.72,7381.58,5,1,one-year,dsl,no,mailed-check,0
33,107.8,3582.6,2,0,month-to-month,dsl,yes,credit-card,1
51,101.25,4649.63,7,1,month-to-month,fiber,yes,credit-card,0
29,71.59,1934.04,1,0,month-to-month,dsl,no,mailed-check,0
12,45.17,515.33,1,0,one-year,fiber,yes,bank-transfer,0
26,70.6,1803.94,5,0,month-to-month,dsl,no,credit-card,1
6,30.08,175.51,6,0,month-to-month,fiber,no,mailed-check,1
55,85.88,4737.01,6,1,two-year,fiber,no,mailed-check,0
13,33.4,426.56,5,1,month-to-month,fiber,no,credit-card,0
27,71.12,2007.06,3,1,one-year,none,no,mailed-check,0
70,25.44,1621.32,3,1,month-to-month,dsl,yes,electronic-check,0
42,49.95,2305.48,3,0,month-to-month,dsl,no,bank-transfer,0
33,43.21,1523.77,2,0,month-to-month,fiber,yes,electronic-check,0
39,82.0,3092.44,3,1,two-year,dsl,yes,bank-transfer,0
56,98.68,5412.02,1,0,month-to-month,fiber,no,electronic-check,1
18,25.73,506.09,3,1,month-to-month,fiber,yes,mailed-check,0
45,105.03,5138.3,7,1,month-to-month,dsl,no,electronic-check,1
62,106.08,6436.44,5,1,month-to-month,none,yes,bank-transfer,0
41,54.23,2027.6,1,1,one-year,dsl,yes,electronic-check,0
32,85.9,3017.06,3,1,two-year,fiber,no,mailed-check,0
10,60.26,621.13,2,1,month-to-month,dsl,no,credit-card,1
17,35.42,625.38,2,0,month-to-month,fiber,no,credit-card,1
68,72.87,4731.78,5,0,month-to-month,dsl,yes,mailed-check,0
38,28.64,1157.69,7,1,two-year,none,yes,bank-transfer,0
21,107.85,2290.89,5,1,month-to-month,none,yes,mailed-check,1
30,112.43,3352.83,4,1,month-to-month,fiber,no,electronic-check,1
41,102.16,4390.62,2,0,two-year,fiber,yes,electronic-check,0
38,76.25,2823.27,2,1,two-year,fiber,no,credit-card,0
50,75.76,3734.52,6,1,month-to-month,fiber,yes,electronic-check,0
18,118.46,2197.24,5,0,month-to-month,fiber,no,mailed-check,1
46,44.79,2117.86,4,0,one-year,fiber,no,electronic-check,0
31,27.59,935.89,5,1,two-year,none,no,credit-card,0
67,76.19,5168.9,6,0,month-to-month,fiber,yes,electronic-check,0
11,52.88,560.85,6,0,month-to-month,dsl,yes,bank-transfer,1
10,52.23,500.1,1,0,month-to-month,none,yes,mailed-check,0
33,20.71,688.08,3,1,month-to-month,dsl,no,bank-transfer,0
36,79.62,2648.23,1,0,month-to-month,dsl,no,electronic-check,0
49,46.4,2313.66,3,1,one-year,none,yes,electronic-check,0
29,38.79,1100.22,5,0,month-to-month,dsl,yes,electronic-check,0
65,24.04,1516.35,2,0,month-to-month,dsl,no,bank-transfer,0
34,56.44,1800.94,2,1,two-year,fiber,yes,bank-transfer,0
9,107.9,970.21,4,0,month-to-month,fiber,yes,credit-card,0
8,53.67,389.66,4,1,month-to-month,dsl,yes,credit-card,1
70,87.91,6285.62,5,1,two-year,fiber,yes,credit-card,0
9,95.65,823.93,1,1,month-to-month,dsl,no,electronic-check,0
68,52.81,3882.01,2,0,two-year,fiber,no,bank-transfer,0
20,102.16,2053.97,6,0,month-to-month,dsl,no,bank-transfer,1
6,89.19,565.17,5,1,month-to-month,dsl,no,bank-transfer,1
21,75.92,1706.3,7,0,one-year,none,yes,bank-transfer,0
44,20.1,951.43,6,0,month-to-month,fiber,yes,bank-transfer,0
30,23.51,757.58,6,0,month-to-month,fiber,no,bank-transfer,0
56,119.09,6302.87,4,0,month-to-month,none,yes,bank-transfer,0
43,98.23,4057.74,7,0,one-year,none,yes,bank-transfer,0
28,113.76,3317.75,3,1,month-to-month,fiber,no,electronic-check,1
45,110.23,4997.67,7,0,one-year,dsl,no,bank-transfer,0
69,22.04,1554.01,3,1,one-year,fiber,yes,electronic-check,0
29,99.18,2978.46,4,1,month-to-month,fiber,no,credit-card,0
11,65.11,660.95,5,0,month-to-month,dsl,yes,credit-card,0
29,98.96,2679.46,3,1,month-to-month,dsl,no,electronic-check,1
60,20.67,1274.39,2,0,one-year,dsl,yes,credit-card,0
15,48.82,750.66,7,0,month-to-month,fiber,no,mailed-check,0
68,95.13,6879.52,4,0,one-year,fiber,yes,bank-transfer,0
42,99.3,4332.24,7,1,month-to-month,fiber,no,bank-transfer,1
43,81.97,3318.64,3,1,month-to-month,dsl,no,electronic-check,0
22,50.13,1008.03,7,1,one-year,dsl,no,credit-card,0
66,51.04,3295.22,5,1,month-to-month,none,no,bank-transfer,0
2,116.68,227.35,6,0,month-to-month,fiber,no,mailed-check,1
21,63.92,1414.11,6,1,one-year,fiber,yes,bank-transfer,0
30,64.71,2007.88,2,1,one-year,fiber,yes,credit-card,0
34,75.23,2748.23,6,0,month-to-month,fiber,no,bank-transfer,0
34,60.95,2074.07,7,0,month-to-month,fiber,no,bank-transfer,0
10,75.27,720.89,5,0,month-to-month,fiber,yes,credit-card,1
16,63.23,1012.54,7,0,one-year,dsl,yes,bank-transfer,0
6,102.67,580.97,6,0,month-to-month,none,yes,electronic-check,1
41,110.91,4147.63,5,1,one-year,fiber,yes,credit-card,1
25,113.21,2830.07,4,0,one-year,fiber,yes,credit-card,0
40,76.43,3004.37,7,1,two-year,dsl,no,bank-transfer,0
42,64.21,2444.52,2,1,month-to-month,fiber,yes,electronic-check,0
50,90.52,4726.3,4,0,month-to-month,dsl,no,bank-transfer,0
39,103.83,4166.28,6,1,month-to-month,fiber,no,electronic-check,1
46,76.3,3210.63,7,0,month-to-month,fiber,yes,credit-card,0
42,90.0,3938.78,2,0,month-to-month,fiber,no,credit-card,1
46,94.97,4004.12,1,1,two-year,dsl,no,electronic-check,0
44,87.64,3869.78,3,1,month-to-month,none,yes,electronic-check,1
22,94.61,2132.31,7,0,month-to-month,dsl,no,credit-card,0
17,40.86,694.48,4,1,month-to-month,fiber,no,credit-card,1
56,69.84,4104.56,1,1,two-year,dsl,yes,credit-card,0
24,78.83,1848.62,1,1,month-to-month,dsl,no,electronic-check,1
39,20.25,744.41,3,1,one-year,none,yes,bank-transfer,0
14,105.6,1474.38,3,0,two-year,dsl,yes,credit-card,0
31,81.0,2431.77,1,0,month-to-month,none,no,electronic-check,0
38,32.91,1163.36,4,0,one-year,dsl,yes,mailed-check,0
45,101.64,4547.35,4,1,month-to-month,fiber,yes,mailed-check,0
37,91.71,3190.64,2,1,month-to-month,dsl,yes,bank-transfer,0
25,95.83,2381.52,2,1,month-to-month,fiber,yes,mailed-check,1
69,59.2,4160.39,5,1,month-to-month,none,no,mailed-check,0
36,105.42,4009.31,7,1,one-year,fiber,no,mailed-check,1
58,61.4,3812.74,7,0,two-year,dsl,yes,electronic-check,0
53,77.05,4220.99,4,0,month-to-month,fiber,no,bank-transfer,0
40,20.06,865.56,1,1,one-year,fiber,yes,bank-transfer,0
63,84.49,5384.39,7,0,month-to-month,dsl,yes,credit-card,0
9,91.82,861.16,7,1,month-to-month,fiber,no,bank-transfer,1
66,76.71,5336.62,2,0,one-year,fiber,no,bank-transfer,0
61,69.66,4525.33,3,1,month-to-month,fiber,no,mailed-check,0
36,100.99,3818.77,1,1,one-year,dsl,yes,mailed-check,0
52,88.14,4952.16,6,1,month-to-month,fiber,no,mailed-check,0
37,47.81,1759.37,6,1,two-year,none,no,credit-card,0
19,115.91,2402.03,1,1,month-to-month,fiber,no,mailed-check,1
57,90.73,5068.47,5,1,month-to-month,fiber,no,credit-card,0
17,118.79,1845.84,3,0,one-year,none,no,mailed-check,1
22,117.13,2413.03,4,1,month-to-month,dsl,yes,bank-transfer,0
37,111.89,4188.17,2,1,month-to-month,dsl,yes,mailed-check,0
60,95.54,5175.88,6,0,two-year,fiber,yes,mailed-check,1
27,80.94,2035.64,3,0,month-to-month,fiber,yes,credit-card,0
35,37.22,1269.89,6,0,month-to-month,none,yes,bank-transfer,0
2,74.34,152.38,2,1,month-to-month,fiber,no,mailed-check,0
8,96.54,720.66,5,1,one-year,dsl,no,mailed-check,0
4,72.09,292.68,3,0,one-year,dsl,no,credit-card,0
5,106.82,551.53,7,1,two-year,dsl,no,electronic-check,1
62,30.97,2021.39,4,0,month-to-month,none,yes,credit-card,0
60,58.09,3597.27,6,1,month-to-month,dsl,no,bank-transfer,0
59,70.6,3957.2,1,0,month-to-month,fiber,no,mailed-check,0
4,63.23,278.08,5,0,month-to-month,fiber,no,bank-transfer,1
5,30.86,166.28,1,0,one-year,dsl,no,credit-card,0
20,35.35,689.12,3,0,month-to-month,dsl,yes,mailed-check,0
40,103.76,3759.59,2,0,one-year,fiber,no,mailed-check,1
24,68.44,1651.99,1,1,one-year,dsl,no,credit-card,0
35,24.87,934.03,5,0,one-year,none,no,mailed-check,0
12,21.65,276.53,2,0,month-to-month,none,no,credit-card,1
52,67.35,3780.66,4,1,month-to-month,dsl,no,credit-card,0
22,36.44,876.96,6,0,two-year,none,no,bank-transfer,0
4,90.51,377.46,2,0,one-year,dsl,no,electronic-check,1
53,99.53,4918.91,5,1,month-to-month,dsl,no,electronic-check,0
65,42.83,2525.83,3,0,one-year,dsl,yes,mailed-check,0
1,79.22,73.7,3,1,two-year,fiber,yes,electronic-check,0
31,35.44,1032.96,5,0,month-to-month,fiber,no,credit-card,1
59,50.36,2710.6,5,1,two-year,dsl,no,bank-transfer,0
50,108.88,5393.32,5,0,month-to-month,fiber,no,mailed-check,1
61,74.41,4796.71,2,1,two-year,fiber,yes,credit-card,0
29,108.59,2836.88,5,1,month-to-month,fiber,no,electronic-check,0
26,42.52,1172.65,2,1,month-to-month,fiber,no,bank-transfer,1
51,53.0,2932.92,2,0,month-to-month,fiber,no,mailed-check,0
11,67.1,686.73,7,0,two-year,fiber,no,electronic-check,0
17,68.01,1045.49,1,1,two-year,dsl,yes,mailed-check,0
43,119.76,5128.43,3,0,month-to-month,fiber,no,electronic-check,0
48,31.44,1620.35,4,0,month-to-month,dsl,no,electronic-check,0
8,105.2,881.46,2,1,month-to-month,fiber,yes,electronic-check,1
36,106.37,3472.96,6,0,month-to-month,fiber,yes,electronic-check,0
26,75.32,2026.18,4,0,one-year,dsl,no,bank-transfer,0
36,54.4,2082.85,6,1,month-to-month,dsl,yes,credit-card,0
69,71.92,4735.25,3,1,two-year,fiber,no,mailed-check,0
5,49.25,253.81,7,1,two-year,fiber,no,bank-transfer,0
71,99.91,7085.03,6,1,month-to-month,fiber,no,electronic-check,1
32,69.83,2103.0,3,0,month-to-month,fiber,no,credit-card,1
55,112.58,6689.12,7,0,two-year,dsl,yes,bank-transfer,0
30,82.27,2331.37,7,1,two-year,dsl,yes,mailed-check,0
22,71.43,1678.47,5,1,one-year,fiber,yes,credit-card,1
55,91.11,5213.15,1,0,month-to-month,fiber,yes,mailed-check,1
49,70.39,3256.59,5,1,month-to-month,fiber,no,mailed-check,0
10,110.45,1151.18,5,1,one-year,dsl,yes,credit-card,0
50,38.44,1739.8,3,0,month-to-month,dsl,yes,electronic-check,0
54,117.33,6001.63,2,1,one-year,fiber,no,bank-transfer,1
27,101.22,2615.64,4,0,one-year,fiber,yes,bank-transfer,0
66,106.07,7545.53,6,0,month-to-month,fiber,yes,bank-transfer,0
46,68.29,3402.31,3,1,month-to-month,dsl,no,credit-card,0
24,103.72,2375.27,4,0,month-to-month,fiber,yes,mailed-check,1
0,50.68,50.42,1,0,two-year,fiber,yes,electronic-check,1
48,96.19,5061.86,5,1,month-to-month,fiber,no,mailed-check,1
15,34.05,527.7,7,0,month-to-month,fiber,no,electronic-check,0
54,50.71,2502.69,6,0,two-year,fiber,no,bank-transfer,1
37,64.57,2337.21,4,1,one-year,fiber,no,bank-transfer,0
33,52.23,1696.51,1,0,month-to-month,fiber,yes,credit-card,1
11,58.7,620.7,4,1,two-year,fiber,no,mailed-check,1
51,102.01,5223.23,7,0,month-to-month,fiber,no,credit-card,0
11,45.67,526.08,1,1,two-year,dsl,yes,credit-card,0
30,94.53,2944.52,2,0,two-year,none,yes,credit-card,0
60,27.37,1593.44,6,1,month-to-month,dsl,no,bank-transfer,0
66,96.57,6675.27,4,1,month-to-month,dsl,yes,electronic-check,0
71,99.2,7091.2,2,1,month-to-month,fiber,yes,electronic-check,0
68,60.17,4312.11,1,0,one-year,dsl,yes,credit-card,0
40,92.25,3405.05,3,0,one-year,none,no,credit-card,0
14,111.51,1531.4,5,1,month-to-month,fiber,yes,credit-card,1
60,100.07,5877.69,6,0,two-year,dsl,no,bank-transfer,0
57,59.04,3265.53,7,1,month-to-month,dsl,yes,credit-card,0
71,68.42,5050.22,4,1,one-year,dsl,no,mailed-check,0
46,97.94,4556.72,3,1,one-year,dsl,yes,electronic-check,0
10,49.26,481.36,7,0,month-to-month,dsl,no,mailed-check,0
36,100.39,3640.28,6,1,month-to-month,dsl,no,credit-card,1
32,52.81,1759.0,2,1,one-year,dsl,no,bank-transfer,0
60,100.6,6247.41,5,0,one-year,fiber,yes,credit-card,1
28,28.68,844.91,6,1,month-to-month,dsl,no,credit-card,0
23,24.44,601.63,2,0,one-year,dsl,no,credit-card,0
5,119.77,627.52,7,0,month-to-month,dsl,yes,electronic-check,0
60,106.95,6006.49,3,0,month-to-month,dsl,no,electronic-check,1
54,108.28,6252.42,4,1,two-year,dsl,no,mailed-check,1
2,115.13,222.52,4,1,month-to-month,dsl,no,electronic-check,1
31,63.83,2044.41,5,1,one-year,dsl,no,credit-card,0
34,48.68,1817.64,7,1,one-year,none,no,electronic-check,0
33,33.0,1044.27,3,1,month-to-month,dsl,no,mailed-check,0
66,70.12,4415.23,3,0,month-to-month,dsl,no,bank-transfer,0
10,42.0,393.3,6,0,month-to-month,fiber,yes,electronic-check,1
22,113.56,2740.2,7,0,month-to-month,fiber,no,bank-transfer,1
13,20.4,261.32,7,1,one-year,dsl,yes,electronic-check,0
17,34.32,616.56,6,0,month-to-month,fiber,no,credit-card,0
65,44.65,2640.61,5,0,two-year,fiber,yes,bank-transfer,0
67,39.9,2502.44,6,0,month-to-month,none,no,mailed-check,0
3,42.58,116.58,7,1,month-to-month,none,no,bank-transfer,1
45,85.6,4095.17,1,1,two-year,fiber,no,mailed-check,0
16,52.75,777.59,5,1,month-to-month,fiber,yes,electronic-check,0
13,81.5,1149.17,1,0,one-year,fiber,no,electronic-check,0
21,109.03,2364.62,5,0,one-year,none,no,electronic-check,1
13,80.26,1128.84,3,1,two-year,fiber,no,bank-transfer,0
35,89.45,3073.68,3,0,month-to-month,dsl,no,bank-transfer,1
71,56.55,4035.65,7,1,month-to-month,dsl,yes,mailed-check,0
42,35.97,1368.0,5,1,two-year,fiber,no,bank-transfer,0
52,52.06,2688.66,4,0,month-to-month,fiber,no,mailed-check,0
35,116.43,4148.99,7,1,one-year,fiber,no,electronic-check,1
1,82.18,75.62,1,0,one-year,dsl,yes,bank-transfer,0
6,47.75,314.07,5,0,one-year,fiber,yes,mailed-check,0
19,65.09,1114.13,2,1,one-year,dsl,yes,bank-transfer,0
17,103.55,1678.48,2,1,two-year,fiber,no,bank-transfer,1
60,86.84,5330.89,2,0,month-to-month,dsl,no,electronic-check,0
60,76.07,4562.04,4,1,one-year,dsl,no,electronic-check,0
61,108.52,6274.43,5,1,one-year,fiber,yes,electronic-check,0
45,87.24,4307.98,6,0,month-to-month,dsl,yes,electronic-check,0
40,84.27,3161.05,4,1,two-year,dsl,yes,electronic-check,0
46,38.98,1817.59,7,1,month-to-month,fiber,yes,credit-card,0
29,30.64,820.3,3,0,month-to-month,dsl,no,credit-card,0
48,116.51,5096.02,2,0,two-year,fiber,no,credit-card,0
57,79.89,4542.68,1,1,two-year,fiber,no,mailed-check,0
54,61.57,3527.39,1,0,month-to-month,dsl,yes,mailed-check,0
44,78.9,3493.34,4,1,one-year,none,yes,mailed-check,0
4,26.18,100.4,3,1,month-to-month,fiber,no,credit-card,0
52,102.21,4801.21,6,1,month-to-month,fiber,yes,mailed-check,0
26,41.66,1178.59,1,0,month-to-month,fiber,no,bank-transfer,0
53,100.45,5017.07,2,0,two-year,fiber,no,electronic-check,0
38,73.44,2832.34,7,1,month-to-month,none,no,credit-card,1
63,47.66,2711.65,1,0,month-to-month,dsl,yes,bank-transfer,0
24,23.02,507.97,3,1,one-year,dsl,no,credit-card,0
67,101.58,6356.9,2,1,month-to-month,fiber,no,mailed-check,1
60,37.65,2083.84,4,1,month-to-month,dsl,yes,bank-transfer,0
23,25.18,582.7,7,1,month-to-month,fiber,no,mailed-check,0
34,95.59,3183.14,2,0,one-year,dsl,no,mailed-check,0
38,55.0,2215.94,3,0,one-year,dsl,yes,mailed-check,0
55,58.93,2992.36,4,0,one-year,none,no,electronic-check,0
49,44.71,2160.59,6,1,month-to-month,dsl,yes,mailed-check,0
61,105.92,6368.4,7,1,month-to-month,dsl,yes,bank-transfer,0
26,49.73,1223.37,1,1,one-year,fiber,yes,electronic-check,0
36,41.02,1357.39,4,1,month-to-month,fiber,no,mailed-check,1
31,50.92,1424.03,6,0,month-to-month,fiber,no,electronic-check,0
65,40.31,2368.0,1,1,month-to-month,dsl,no,bank-transfer,0
21,51.77,1065.13,6,0,month-to-month,none,no,mailed-check,0
42,28.29,1082.26,2,0,month-to-month,fiber,yes,electronic-check,0
8,35.85,280.75,4,0,two-year,fiber,no,bank-transfer,0
61,61.71,3717.19,7,0,month-to-month,dsl,no,credit-card,0
27,107.95,2882.81,5,1,one-year,dsl,no,credit-card,1
24,25.73,579.44,7,0,month-to-month,fiber,no,credit-card,0
41,41.27,1691.64,5,0,one-year,fiber,no,electronic-check,0
35,110.83,3795.51,2,1,one-year,dsl,no,electronic-check,1
61,109.0,7299.97,5,1,two-year,fiber,no,credit-card,0
38,87.95,3038.22,5,0,month-to-month,fiber,no,bank-transfer,0
37,44.05,1484.43,3,0,one-year,dsl,yes,bank-transfer,0
7,61.98,462.02,1,1,month-to-month,fiber,no,credit-card,0
1,41.12,39.2,5,1,one-year,dsl,no,electronic-check,1
28,32.86,861.89,5,0,two-year,none,no,bank-transfer,0
71,58.0,4426.43,6,0,one-year,fiber,no,bank-transfer,1
66,77.58,5153.8,1,0,one-year,fiber,yes,credit-card,0
45,55.99,2577.9,4,0,two-year,none,yes,mailed-check,0
45,81.08,3289.55,6,1,two-year,fiber,yes,bank-transfer,1
28,49.63,1323.15,7,0,month-to-month,dsl,no,credit-card,0
12,54.59,623.53,7,1,month-to-month,fiber,no,mailed-check,1
0,99.07,104.24,2,0,one-year,none,no,electronic-check,1
24,107.83,2528.68,2,1,two-year,dsl,no,mailed-check,0
22,52.2,1166.19,5,1,month-to-month,fiber,no,bank-transfer,0
13,77.15,1089.59,4,0,month-to-month,dsl,yes,mailed-check,0
18,47.82,944.2,2,1,month-to-month,fiber,yes,bank-transfer,0
1,25.33,23.44,1,1,month-to-month,fiber,yes,mailed-check,1
43,93.79,4078.03,2,1,month-to-month,none,no,electronic-check,0
66,37.1,2546.12,3,0,month-to-month,fiber,yes,credit-card,0
49,62.57,3238.88,6,0,month-to-month,dsl,no,credit-card,0
32,68.7,2383.11,1,1,one-year,fiber,yes,bank-transfer,0
30,38.45,1206.18,1,0,month-to-month,none,no,mailed-check,0
22,29.46,672.74,2,1,month-to-month,dsl,yes,mailed-check,0
10,54.8,499.13,7,1,month-to-month,dsl,no,mailed-check,1
43,115.23,4999.3,7,0,month-to-month,fiber,yes,mailed-check,0
40,81.51,3324.8,4,0,month-to-month,fiber,no,electronic-check,1
0,58.14,60.42,1,1,month-to-month,dsl,no,mailed-check,0
29,23.89,704.36,1,0,month-to-month,dsl,no,mailed-check,0
20,80.03,1571.61,7,0,one-year,dsl,no,mailed-check,0
12,29.23,349.88,4,1,month-to-month,fiber,no,mailed-check,0
50,74.25,4059.48,1,0,month-to-month,fiber,yes,bank-transfer,0
37,95.2,3402.01,6,0,month-to-month,fiber,no,credit-card,0
45,62.36,2965.85,4,0,month-to-month,fiber,no,mailed-check,0
51,49.94,2601.67,3,0,month-to-month,dsl,no,electronic-check,0
70,24.74,1712.35,4,0,month-to-month,fiber,no,credit-card,0
57,22.48,1259.4,2,0,month-to-month,dsl,no,electronic-check,0
44,63.0,2792.64,7,1,month-to-month,fiber,yes,credit-card,0
63,108.33,7233.99,6,0,two-year,fiber,yes,bank-transfer,0
34,44.41,1395.83,2,1,month-to-month,fiber,yes,bank-transfer,0
70,77.41,5863.75,6,0,month-to-month,none,no,mailed-check,0
54,88.43,5037.04,2,1,month-to-month,dsl,yes,bank-transfer,0
46,26.08,1163.46,4,0,month-to-month,dsl,yes,bank-transfer,0
65,35.31,2070.31,6,1,one-year,fiber,no,credit-card,0
37,53.13,1810.6,1,0,month-to-month,fiber,yes,electronic-check,0
51,87.01,4121.91,6,1,month-to-month,dsl,yes,electronic-check,0
20,63.9,1176.68,2,1,two-year,none,no,mailed-check,0
69,93.42,5933.88,5,0,month-to-month,fiber,no,electronic-check,0
44,106.76,5129.74,4,1,month-to-month,fiber,no,credit-card,1
56,95.84,5537.13,1,0,one-year,fiber,yes,electronic-check,0
33,119.22,4186.56,6,0,two-year,dsl,no,electronic-check,0
62,95.44,5991.62,2,0,month-to-month,fiber,no,mailed-check,0
5,105.22,538.67,7,1,one-year,fiber,yes,mailed-check,0
8,103.24,888.85,6,1,month-to-month,none,yes,mailed-check,1
36,93.03,3189.64,2,1,one-year,fiber,yes,bank-transfer,1
52,100.18,5412.03,5,1,month-to-month,dsl,no,bank-transfer,1
58,113.47,7106.85,3,1,one-year,dsl,yes,credit-card,0
31,67.52,2275.76,5,1,month-to-month,dsl,no,mailed-check,1
46,83.83,3813.03,4,1,month-to-month,none,no,credit-card,0
39,71.49,2987.02,3,0,month-to-month,fiber,no,electronic-check,1
69,105.1,7257.5,5,1,one-year,fiber,yes,electronic-check,0
47,63.14,2823.88,2,0,one-year,fiber,no,mailed-check,0
30,101.97,2906.73,7,0,two-year,dsl,no,electronic-check,1
69,99.94,6829.34,7,1,two-year,fiber,yes,electronic-check,0
7,116.19,773.95,2,0,month-to-month,fiber,no,mailed-check,1
70,44.89,2846.91,6,0,one-year,dsl,yes,bank-transfer,0
11,90.96,921.63,7,1,month-to-month,fiber,yes,mailed-check,0
20,95.69,2047.47,1,1,two-year,fiber,yes,mailed-check,0
59,113.63,7217.05,6,0,one-year,none,yes,electronic-check,0
52,110.69,6185.32,7,0,month-to-month,dsl,yes,electronic-check,0
69,77.35,5394.48,2,0,month-to-month,none,no,credit-card,0
53,77.92,4489.23,5,0,one-year,none,no,electronic-check,0
45,36.73,1652.55,6,0,two-year,none,no,bank-transfer,0
24,117.5,2798.88,3,1,two-year,dsl,no,bank-transfer,0
0,45.5,45.27,2,0,month-to-month,dsl,no,electronic-check,1
8,92.47,703.38,3,1,month-to-month,fiber,yes,electronic-check,0
21,99.58,2138.65,3,0,two-year,dsl,yes,mailed-check,0
2,64.12,126.93,6,1,one-year,dsl,yes,bank-transfer,0
36,41.12,1620.85,3,1,month-to-month,fiber,no,electronic-check,0
55,38.9,1999.14,3,0,one-year,dsl,no,credit-card,0
69,105.65,6672.7,7,1,one-year,fiber,no,mailed-check,0
35,71.08,2413.73,5,0,one-year,none,yes,mailed-check,0
63,29.01,1723.66,7,1,one-year,fiber,no,credit-card,0
70,91.7,7050.51,5,1,two-year,none,no,electronic-check,0
61,45.02,2778.39,7,1,two-year,fiber,yes,credit-card,0
33,107.64,3452.46,2,1,month-to-month,dsl,yes,bank-transfer,0
23,50.96,1205.54,7,1,month-to-month,dsl,yes,mailed-check,0
70,40.03,2775.82,7,0,one-year,dsl,no,electronic-check,0
17,28.49,456.13,1,0,one-year,dsl,no,electronic-check,0
29,71.15,2019.82,3,1,month-to-month,fiber,yes,credit-card,0
5,65.07,311.45,3,1,two-year,none,no,mailed-check,0
57,95.13,5571.63,3,0,month-to-month,dsl,no,credit-card,0
46,66.46,3250.72,6,1,month-to-month,dsl,no,credit-card,1
6,54.38,310.79,5,0,two-year,fiber,no,mailed-check,0
15,46.17,709.35,2,0,two-year,fiber,no,mailed-check,1
39,47.81,1942.34,5,1,month-to-month,dsl,yes,mailed-check,0
38,112.78,4174.22,7,1,month-to-month,dsl,yes,bank-transfer,1
